TOR,Away,Loss,DET,Home
DET,Home,Win,TOR,Away
POR,Away,Win,IND,Home
IND,Home,Loss,POR,Away
PHI,Away,Loss,ORL,Home
ORL,Home,Win,PHI,Away
MIN,Away,Loss,DAL,Home
DAL,Home,Win,MIN,Away
MIA,Away,Win,NY,Home
NY,Home,Loss,MIA,Away
IND,Away,Loss,CLE,Home
CLE,Home,Win,IND,Away
PHI,Away,Loss,WAS,Home
WAS,Home,Win,PHI,Away
UTA,Away,Loss,BOS,Home
BOS,Home,Win,UTA,Away
HOU,Away,Loss,MIL,Home
MIL,Home,Win,HOU,Away
MEM,Away,Win,DEN,Home
DEN,Home,Loss,MEM,Away
OKC,Away,Win,SAC,Home
SAC,Home,Loss,OKC,Away
BKN,Away,Loss,LAC,Home
LAC,Home,Win,BKN,Away
PHO,Away,Loss,CHA,Home
CHA,Home,Win,PHO,Away
CHI,Away,Loss,MIA,Home
MIA,Home,Win,CHI,Away
POR,Away,Win,NY,Home
NY,Home,Loss,POR,Away
ORL,Away,Loss,DAL,Home
DAL,Home,Win,ORL,Away
ATL,Away,Loss,GS,Home
GS,Home,Win,ATL,Away
BKN,Away,Loss,LAL,Home
LAL,Home,Win,BKN,Away
CHI,Away,Loss,ORL,Home
ORL,Home,Win,CHI,Away
CHA,Away,Win,PHI,Home
PHI,Home,Loss,CHA,Away
POR,Away,Loss,BOS,Home
BOS,Home,Win,POR,Away
UTA,Away,Loss,TOR,Home
